Frame;Time;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z
1095;0,042618;-0,3361;0,6016;0,5768;8,5928;341,0242;55,4447;-0,0214;-0,0131;-0,0308
1100;0,111492;-0,3367;0,6013;0,576;8,5632;340,8837;55,3006;-0,0214;-0,0206;-0,0399
1105;0,1802179;-0,3354;0,5989;0,576;9,0247;341,4727;55,4855;0,099;-0,1344;0,0347
1110;0,2496668;-0,3335;0,5966;0,5768;9,0907;341,6403;55,6539;0,0984;-0,1092;0,0298
1115;0,3193701;-0,3305;0,5936;0,5776;9,3491;342,0373;55,9722;0,0804;-0,0739;0,0149
1120;0,3886345;-0,329;0,5915;0,578;9,66;342,0981;56,1528;0,0325;-0,0657;0,0058
1125;0,4581674;-0,3297;0,5917;0,5788;9,5773;342,153;56,0648;-0,1202;0,0866;0,0416
1130;0,527296;-0,3364;0,5965;0,578;9,0644;341,3864;55,6759;-0,3286;0,1931;-0,0619
1135;0,5965679;-0,3442;0,6012;0,5763;8,4646;340,3151;55,3753;-0,2912;0,1866;-0,0549
1140;0,6664668;-0,3502;0,6051;0,5754;8,0606;339,5728;55,307;-0,2031;0,1221;-0,012
1145;0,7362245;-0,3527;0,6063;0,5757;8,0723;339,3577;55,3468;-0,0601;0,0097;0,0297
1150;0,8054385;-0,356;0,6076;0,5766;8,2784;339,116;56,0152;-0,1462;0,0731;0,0393
1155;0,8746551;-0,3575;0,6097;0,5772;8,1161;339,211;55,7551;-0,0841;0,0748;0,0177
1160;0,9443716;-0,3599;0,611;0,5768;8,1857;338,7844;55,9014;-0,0581;0,0214;-0,0188
1165;1,013499;-0,3612;0,6116;0,577;8,2568;338,7417;55,8752;-0,0746;0,0239;0,0284
1170;1,08304;-0,3634;0,6123;0,5774;8,2182;338,6769;55,7773;-0,0983;0,017;0,0382
1175;1,152517;-0,3671;0,6138;0,5769;8,0741;338,3617;55,6168;-0,1414;0,0845;-0,0384
1180;1,221969;-0,3711;0,6166;0,5753;7,6177;337,9836;55,1536;-0,1597;0,1141;-0,0832
1185;1,291746;-0,374;0,6178;0,5738;7,3721;337,2966;55,2468;-0,141;0,0362;-0,0785
1190;1,360965;-0,3748;0,6179;0,5742;7,4956;337,3021;55,1874;-0,0653;0,0232;0,0212
1195;1,430565;-0,376;0,619;0,5753;7,5784;337,3909;55,0979;-0,0641;0,0525;0,0785
1200;1,499725;-0,3765;0,6198;0,5761;8,0256;337,7336;55,0295;-0,0134;0,07;0,0499
1205;1,569798;-0,3766;0,6204;0,5765;8,137;337,7808;55,1713;-0,0154;0,034;0,021
1210;1,638853;-0,3766;0,6213;0,5768;8,089;337,7204;55,379;0,0233;0,0727;0,0221
1215;1,708045;-0,3765;0,622;0,5773;7,9218;337,7816;55,4711;0,0024;-0,005;-0,0079
1220;1,777531;-0,3782;0,6221;0,5753;7,7628;336,5999;56,3326;-0,106;0,0297;-0,1022
1225;1,847767;-0,3809;0,6223;0,5727;7,6672;335,7135;57,0049;-0,0953;0,0485;-0,0522
1230;1,917381;-0,3813;0,623;0,5732;7,5864;336,0277;57,0561;0,0268;-0,0026;0,0203
1235;1,986112;-0,3828;0,6247;0,5737;7,4828;336,0552;57,0007;-0,0587;0,0979;0,0135
1240;2,055649;-0,384;0,6264;0,5736;7,5561;336,0432;57,022;-0,0887;0,0766;-0,0357
1245;2,12498;-0,3858;0,6272;0,5735;7,6498;336,0726;57,0877;-0,1007;0,0265;-0,0134
1250;2,19444;-0,39;0,6288;0,5725;7,4166;335,5988;57,0721;-0,1313;0,0938;-0,0275
1255;2,263846;-0,3916;0,6299;0,5719;7,1829;335,3662;56,8259;-0,052;0,0142;-0,0475
1260;2,333318;-0,3915;0,6301;0,5718;7,0239;335,0458;57,0625;0,041;0,0037;0,0296
1265;2,402883;-0,3892;0,6292;0,5734;6,9666;335,3631;57,1716;0,1307;-0,0566;0,0366
1270;2,472149;-0,3858;0,6294;0,5748;7,1747;335,7675;57,1283;0,0562;0,055;0,0001
1275;2,541593;-0,383;0,6308;0,5741;7,3195;335,6926;56,9257;0,1979;0,0728;0,0049
1280;2,611159;-0,379;0,6309;0,5746;7,3468;335,9192;56,7336;0,1085;-0,0193;0,0124
1285;2,680509;-0,3736;0,6301;0,5762;7,2104;336,3128;56,8421;0,1892;-0,0171;0,0686
1290;2,750133;-0,3691;0,6295;0,5779;7,0672;336,6801;56,8618;0,1053;-0,0074;0,0376
1295;2,819706;-0,365;0,6292;0,5795;6,9442;337,1176;56,8745;0,1157;-0,0099;0,0462
1300;2,889085;-0,3624;0,6288;0,5803;6,9452;337,1967;57,0322;0,1184;-0,0045;0,0552
1305;2,957916;-0,3599;0,6289;0,5819;6,9905;337,5796;56,8455;0,0515;-0,0008;0,0454
1310;3,027683;-0,3582;0,6288;0,5829;7,0089;337,7628;56,9722;0,0727;0,0191;0,0463
1315;3,096931;-0,3568;0,6291;0,584;6,8143;337,9457;57,0847;0,011;-0,0049;0,0293
1320;3,166336;-0,3552;0,6293;0,585;6,739;338,2216;57,1226;0,0591;0,0067;0,0237
1325;3,236179;-0,3531;0,6299;0,586;6,6048;338,4296;57,2097;0,127;0,0707;0,0628
1330;3,306574;-0,3517;0,6307;0,5864;6,4639;338,469;57,1601;0,0831;0,0397;0,0187
1335;3,374553;-0,3507;0,6309;0,5866;6,3153;338,4886;57,1397;0,0191;-0,0048;-0,0107
1340;3,44379;-0,3502;0,6303;0,5866;6,204;338,33;57,2177;0,0173;-0,0254;0,0052
1345;3,513519;-0,3494;0,6293;0,5862;6,2828;338,3643;57,1353;0,0234;-0,0739;-0,0368
1350;3,582679;-0,3484;0,6286;0,5859;6,2987;338,4253;57,1633;0,0668;-0,0343;-0,0018
1355;3,652338;-0,3476;0,6286;0,5854;6,2553;338,3177;57,2151;0,0517;-0,0079;-0,0066
1360;3,722023;-0,3462;0,6289;0,5861;6,1248;338,497;57,125;0,033;0,0046;0,0141
1365;3,791377;-0,3441;0,629;0,587;6,0815;338,7068;57,2011;0,1196;0,0005;0,0546
1370;3,860611;-0,3426;0,6288;0,5875;6,0974;338,836;57,1743;0,0548;-0,0054;0,015
1375;3,929976;-0,3401;0,6284;0,5881;6,069;339,0787;57,2154;0,079;-0,0237;0,0124
1380;3,999598;-0,338;0,6275;0,5883;6,0795;339,0825;57,3509;0,1157;-0,0589;-0,0088
