Frame;Time;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z
885;0,0702703;-0,3281;0,5746;0,3937;14,0594;317,3546;30,6108;0,1218;0,0419;0,2168
890;0,1382163;-0,325;0,5784;0,4001;14,4258;317,2396;30,9174;0,1223;0,1869;0,2357
895;0,2075822;-0,321;0,5836;0,4095;12,5755;316,9365;37,1033;0,2283;0,2235;0,5349
900;0,277043;-0,3126;0,592;0,428;12,0374;319,2949;38,3883;0,3625;0,3454;0,8095
905;0,3475682;-0,3039;0,5983;0,4473;12,6626;321,5166;40,6532;0,3325;0,2222;0,7423
910;0,4162349;-0,2965;0,6048;0,4645;12,6291;323,5968;45,4447;0,2734;0,2297;0,7149
915;0,4856822;-0,291;0,6125;0,4786;12,7589;325,5746;48,3086;0,1226;0,2787;0,3343
920;0,5550794;-0,2889;0,6191;0,4849;11,5877;324,3122;54,4874;0,0725;0,2212;0,2741
925;0,6245927;-0,2874;0,6218;0,4886;11,961;322,5899;60,7175;0,0407;-0,0003;0,0956
930;0,6938848;-0,2843;0,6197;0,4946;12,5585;321,0342;70,2544;0,196;-0,2366;0,3066
935;0,7641463;-0,2756;0,6118;0,5024;15,9847;318,644;84,6949;0,4492;-0,2972;0,408
940;0,8339099;-0,2679;0,6152;0,5148;17,7782;320,1662;86,3534;0,1953;0,3437;0,581
945;0,9020797;-0,2639;0,6223;0,5263;17,2084;322,9977;87,2762;0,1532;0,2244;0,4051
950;0,9712407;-0,2629;0,6291;0,5333;15,4681;324,0582;87,0283;0,0049;0,2013;0,1609
955;1,040405;-0,2632;0,6325;0,5352;15,3181;324,4357;86,3918;-0,0144;0,074;0,1157
960;1,110443;-0,2632;0,6342;0,538;14,6534;324,8115;87,5573;0,0038;0,0773;0,1031
965;1,180339;-0,2628;0,6372;0,5424;13,503;327,0758;88,4525;0,0287;0,1655;0,2435
970;1,249448;-0,2624;0,6402;0,5453;12,7447;328,6577;87,6831;0,0423;0,09;0,1256
975;1,319186;-0,2608;0,6413;0,549;11,9697;330,5311;88,6589;0,0733;0,063;0,1663
980;1,388512;-0,26;0,6432;0,552;11,485;331,7443;88,1189;0,0221;0,112;0,1239
985;1,458487;-0,2598;0,6451;0,5545;11,0141;332,4891;87,7619;0,0335;0,0624;0,1116
990;1,527251;-0,2594;0,6452;0,556;11,0482;333,2728;87,9559;0,0459;-0,0214;0,0979
995;1,596964;-0,259;0,6448;0,5577;11,0425;333,4519;88,6964;0,0107;-0,0039;0,0076
1000;1,66604;-0,2586;0,6449;0,559;11,6681;334,186;88,3341;0,0003;0,009;-0,002
1005;1,735683;-0,258;0,6458;0,5588;11,5381;334,0876;88,3934;0,0744;0,0293;0,0405
1010;1,805259;-0,2556;0,646;0,5592;11,6057;334,666;88,3609;0,1166;0,0113;0,0356
1015;1,875101;-0,2519;0,6459;0,5599;11,6651;335,4411;87,7724;0,1262;-0,0084;0,0237
